query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,0.0168101875653832,2,16,2,0.125,1,CORUM:719,CORUM,S100A10-annexin 2 complex,1077,113,CORUM:0000000
query_1,TRUE,0.0499927159502607,3,16,2,0.125,0.666666666666667,CORUM:718,CORUM,TRPV5-S100A10-annexin 2 complex,1077,112,CORUM:0000000
query_1,TRUE,0.0499927159502607,3,16,2,0.125,0.666666666666667,CORUM:973,CORUM,Sec61alpha-CollagenIV-Hsp47 complex,1077,136,CORUM:0000000
query_1,TRUE,0.0499927159502607,3,16,2,0.125,0.666666666666667,CORUM:7539,CORUM,Apbb-App-Lrp2 complex,1077,673,CORUM:0000000
query_1,TRUE,7.21343676805845e-16,2208,132,47,0.356060606060606,0.021286231884058,GO:0008219,GO:BP,cell death,27543,3560,GO:0009987
query_1,TRUE,3.76355228764772e-15,6297,132,77,0.583333333333333,0.0122280451008417,GO:0051179,GO:BP,localization,27543,15648,GO:0008150
query_1,TRUE,4.86257569171131e-14,2031,132,43,0.325757575757576,0.0211718365337272,GO:0012501,GO:BP,programmed cell death,27543,5116,GO:0008219
query_1,TRUE,1.01296238331684e-12,1796,132,39,0.295454545454545,0.0217149220489978,GO:0010941,GO:BP,regulation of cell death,27543,5062,GO:0008219|GO:0050794
query_1,TRUE,1.19814905843273e-12,2781,132,48,0.363636363636364,0.017259978425027,GO:0009653,GO:BP,anatomical structure morphogenesis,27543,4021,GO:0032502|GO:0048856
query_1,TRUE,1.53145324457484e-12,6788,132,76,0.575757575757576,0.0111962286387743,GO:0032502,GO:BP,developmental process,27543,8804,GO:0008150
query_1,TRUE,2.28475206381497e-12,2046,132,41,0.310606060606061,0.020039100684262,GO:0009888,GO:BP,tissue development,27543,4208,GO:0048856
query_1,TRUE,1.01183056158165e-11,6186,132,71,0.537878787878788,0.0114775299062399,GO:0048856,GO:BP,anatomical structure development,27543,15146,GO:0032502
query_1,TRUE,1.07619091956463e-11,1629,132,36,0.272727272727273,0.0220994475138122,GO:0043067,GO:BP,regulation of programmed cell death,27543,12124,GO:0010941|GO:0012501
query_1,TRUE,2.07779418292445e-11,1764,132,37,0.28030303030303,0.0209750566893424,GO:0042127,GO:BP,regulation of cell population proliferation,27543,11549,GO:0008283|GO:0050794
query_1,TRUE,2.20617502722877e-11,1973,132,39,0.295454545454545,0.0197668525088697,GO:0006915,GO:BP,apoptotic process,27543,2855,GO:0012501
query_1,TRUE,6.04613241478945e-11,1077,132,29,0.21969696969697,0.0269266480965645,GO:0051270,GO:BP,regulation of cellular component movement,27543,15719,GO:0006928|GO:0032879|GO:0050794
query_1,TRUE,8.9710489748868e-11,1180,132,30,0.227272727272727,0.0254237288135593,GO:0060548,GO:BP,negative regulation of cell death,27543,17313,GO:0008219|GO:0010941|GO:0048523
query_1,TRUE,1.00219557880554e-10,1653,132,35,0.265151515151515,0.0211736237144586,GO:0016192,GO:BP,vesicle-mediated transport,27543,5742,GO:0006810
query_1,TRUE,1.03567385760667e-10,4607,132,59,0.446969696969697,0.0128065986542218,GO:0006810,GO:BP,transport,27543,2766,GO:0051234
query_1,TRUE,1.12224685926397e-10,2881,132,46,0.348484848484849,0.0159666782367234,GO:0032879,GO:BP,regulation of localization,27543,9081,GO:0050789|GO:0051179
query_1,TRUE,1.13704514701192e-10,4762,132,60,0.454545454545455,0.0125997480050399,GO:0051234,GO:BP,establishment of localization,27543,15692,GO:0051179
query_1,TRUE,2.15858302054718e-10,1597,132,34,0.257575757575758,0.0212899185973701,GO:0042981,GO:BP,regulation of apoptotic process,27543,12064,GO:0006915|GO:0043067
query_1,TRUE,8.18020440206823e-10,4678,132,58,0.439393939393939,0.0123984608807183,GO:0048869,GO:BP,cellular developmental process,27543,15158,GO:0009987|GO:0032502
query_1,TRUE,8.89722012741548e-10,6072,132,67,0.507575757575758,0.011034255599473,GO:0048522,GO:BP,positive regulation of cellular process,27543,14844,GO:0009987|GO:0048518|GO:0050794
query_1,TRUE,9.63480786219556e-10,2109,132,38,0.287878787878788,0.018018018018018,GO:0008283,GO:BP,cell population proliferation,27543,3567,GO:0009987
query_1,TRUE,1.54138034101719e-09,5045,132,60,0.454545454545455,0.0118929633300297,GO:0007275,GO:BP,multicellular organism development,27543,3166,GO:0032501|GO:0048856
query_1,TRUE,2.35567661865429e-09,4646,132,57,0.431818181818182,0.0122686181661644,GO:0030154,GO:BP,cell differentiation,27543,7716,GO:0048869
query_1,TRUE,2.88370682833928e-09,991,132,26,0.196969696969697,0.0262361251261352,GO:2000145,GO:BP,regulation of cell motility,27543,29369,GO:0040012|GO:0048870|GO:0051270
query_1,TRUE,3.19278198465938e-09,4533,132,56,0.424242424242424,0.0123538495477609,GO:0048731,GO:BP,system development,27543,15031,GO:0007275|GO:0048856
query_1,TRUE,4.01627777163162e-09,5155,132,60,0.454545454545455,0.011639185257032,GO:0048523,GO:BP,negative regulation of cellular process,27543,14845,GO:0009987|GO:0048519|GO:0050794
query_1,TRUE,5.13030753706916e-09,932,132,25,0.189393939393939,0.026824034334764,GO:0030334,GO:BP,regulation of cell migration,27543,7813,GO:0016477|GO:2000145
query_1,TRUE,5.31555546290166e-09,6629,132,69,0.522727272727273,0.0104088097752301,GO:0048518,GO:BP,positive regulation of biological process,27543,14840,GO:0008150|GO:0050789
query_1,TRUE,6.56293652048156e-09,2970,132,44,0.333333333333333,0.0148148148148148,GO:0033036,GO:BP,macromolecule localization,27543,9203,GO:0051179
query_1,TRUE,7.78763334335255e-09,2493,132,40,0.303030303030303,0.0160449257922182,GO:0008104,GO:BP,protein localization,27543,3529,GO:0033036
query_1,TRUE,8.33626548525612e-09,1039,132,26,0.196969696969697,0.0250240615976901,GO:0040012,GO:BP,regulation of locomotion,27543,11459,GO:0040011|GO:0050789
query_1,TRUE,1.05044433638163e-08,2398,132,39,0.295454545454545,0.0162635529608007,GO:0051128,GO:BP,regulation of cellular component organization,27543,15598,GO:0016043|GO:0050794
query_1,TRUE,1.82025944043983e-08,1260,132,28,0.212121212121212,0.0222222222222222,GO:0060429,GO:BP,epithelium development,27543,17195,GO:0009888
query_1,TRUE,1.97519254351704e-08,8766,132,80,0.606060606060606,0.00912616929044034,GO:0032501,GO:BP,multicellular organismal process,27543,8803,GO:0008150
query_1,TRUE,1.98136909102809e-08,1877,132,34,0.257575757575758,0.0181140117208311,GO:0006508,GO:BP,proteolysis,27543,2483,GO:0019538
query_1,TRUE,2.3081406770162e-08,4029,132,51,0.386363636363636,0.0126582278481013,GO:0065008,GO:BP,regulation of biological quality,27543,18613,GO:0065007
query_1,TRUE,4.57916617501405e-08,252,132,14,0.106060606060606,0.0555555555555556,GO:0006898,GO:BP,receptor-mediated endocytosis,27543,2841,GO:0006897
query_1,TRUE,7.41585289929221e-08,798,132,22,0.166666666666667,0.0275689223057644,GO:0030162,GO:BP,regulation of proteolysis,27543,7719,GO:0006508|GO:0051246
query_1,TRUE,7.60857133587962e-08,5996,132,63,0.477272727272727,0.0105070046697799,GO:0048519,GO:BP,negative regulation of biological process,27543,14841,GO:0008150|GO:0050789
query_1,TRUE,7.69660260076065e-08,3463,132,46,0.348484848484849,0.0132832803927231,GO:0023051,GO:BP,regulation of signaling,27543,7647,GO:0023052|GO:0050789
query_1,TRUE,8.97764203769978e-08,1157,132,26,0.196969696969697,0.0224719101123596,GO:0035295,GO:BP,tube development,27543,10287,GO:0007275|GO:0048856
query_1,TRUE,1.06626307058864e-07,2466,132,38,0.287878787878788,0.0154095701540957,GO:0071702,GO:BP,organic substance transport,27543,19681,GO:0006810
query_1,TRUE,1.26319465506433e-07,2854,132,41,0.310606060606061,0.0143658023826209,GO:0051239,GO:BP,regulation of multicellular organismal process,27543,15697,GO:0032501|GO:0050789
query_1,TRUE,1.29667872862556e-07,588,132,19,0.143939393939394,0.032312925170068,GO:2000147,GO:BP,positive regulation of cell motility,27543,29371,GO:0040017|GO:0048870|GO:0051272|GO:2000145
query_1,TRUE,1.3091899891699e-07,2127,132,35,0.265151515151515,0.0164551010813352,GO:0006928,GO:BP,movement of cell or subcellular component,27543,2866,GO:0009987
query_1,TRUE,1.38402788254354e-07,909,132,23,0.174242424242424,0.0253025302530253,GO:0035239,GO:BP,tube morphogenesis,27543,10253,GO:0009653|GO:0035295
query_1,TRUE,1.43034763807101e-07,1182,132,26,0.196969696969697,0.0219966159052454,GO:0048646,GO:BP,anatomical structure formation involved in morphogenesis,27543,14947,GO:0009653|GO:0032502
query_1,TRUE,1.5694707139347e-07,2026,132,34,0.257575757575758,0.016781836130306,GO:0071705,GO:BP,nitrogen compound transport,27543,19684,GO:0006810
query_1,TRUE,2.03054715041498e-07,2898,132,41,0.310606060606061,0.0141476880607315,GO:0009966,GO:BP,regulation of signal transduction,27543,4266,GO:0007165|GO:0010646|GO:0023051|GO:0048583
query_1,TRUE,2.1602531431323e-07,606,132,19,0.143939393939394,0.0313531353135314,GO:0040017,GO:BP,positive regulation of locomotion,27543,11464,GO:0040011|GO:0040012|GO:0048518
query_1,TRUE,2.1602531431323e-07,606,132,19,0.143939393939394,0.0313531353135314,GO:0051272,GO:BP,positive regulation of cellular component movement,27543,15721,GO:0006928|GO:0048522|GO:0051270
query_1,TRUE,2.19998834113932e-07,1505,132,29,0.21969696969697,0.0192691029900332,GO:0016477,GO:BP,cell migration,27543,5816,GO:0048870
query_1,TRUE,2.2044099751534e-07,1717,132,31,0.234848484848485,0.0180547466511357,GO:0034613,GO:BP,cellular protein localization,27543,9981,GO:0008104|GO:0070727
query_1,TRUE,2.47383217449149e-07,1725,132,31,0.234848484848485,0.0179710144927536,GO:0070727,GO:BP,cellular macromolecule localization,27543,19028,GO:0033036|GO:0051641
query_1,TRUE,2.62569719912426e-07,3453,132,45,0.340909090909091,0.0130321459600348,GO:0010646,GO:BP,regulation of cell communication,27543,4791,GO:0007154|GO:0050794
query_1,TRUE,3.08843343225512e-07,696,132,20,0.151515151515152,0.028735632183908,GO:0006897,GO:BP,endocytosis,27543,2840,GO:0016192
query_1,TRUE,4.23573107519673e-07,1053,132,24,0.181818181818182,0.0227920227920228,GO:0043069,GO:BP,negative regulation of programmed cell death,27543,12126,GO:0012501|GO:0043067|GO:0060548
